code,Nick,Path,db,Path_short,Type 
1,,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.areanamesCurrent,wcgis,areanamesCurrent,sde
2,,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.gmu_links,wcgis,gmu_links,sde
3,,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.dbo.SDE_compress_log,wcgis,SDE_compress_log,sde
4,UCU,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.DWCMasters\sde_wcgis_master.DBO.UCU_poly,wcgis,UCU_poly,sde
5,SA,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.DWCMasters\sde_wcgis_master.DBO.SpecialAreas,wcgis,SpecialAreas,sde
6,Hunts,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.DWCMasters\sde_wcgis_master.DBO.DWCHunts,wcgis,DWCHunts,sde
7,,Y:\sde_wcgis_master (dfgjnusql-gi71p).sde\sde_wcgis_master.DBO.DWCMasters\sde_wcgis_master.DBO.DWCMasters_topology,wcgis,DWCMasters_topology,sde
8,AK_SHADE,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.AK_SHADE,common,AK_SHADE,sde
9,DRG_ITM,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.DRG_ITM,common,DRG_ITM,sde
10,DRG_QM,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.DRG_QM,common,DRG_QM,sde
11,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_AGREEDEM08,common,NED_AGREEDEM08,sde
12,NED_CLIP,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_CLIP,common,NED_CLIP,sde
13,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_FILLSINKS08,common,NED_FILLSINKS08,sde
14,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_FLOWACC08,common,NED_FLOWACC08,sde
15,NED_FLOWDIR,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_FLOWDIR08,common,NED_FLOWDIR08,sde
16,NED_HILLCLIP,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_HILLCLIP,common,NED_HILLCLIP,sde
17,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_HILLRAW,common,NED_HILLRAW,sde
18,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NED_RAW,common,NED_RAW,sde
19,NGS_ITM_HS,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NGS_ITM_HILLSHADE_DD,common,NGS_ITM_HILLSHADE_DD,sde
20,NGS_ITM_TOPO,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NGS_ITM_TOPO_DD,common,NGS_ITM_TOPO_DD,sde
21,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NHDWaterbodyToMeta,common,NHDWaterbodyToMeta,sde
22,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NHDPointEventFCToMeta,common,NHDPointEventFCToMeta,sde
23,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NHDPointToMeta,common,NHDPointToMeta,sde
24,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NHDMetadataHasSourceCitation,common,NHDMetadataHasSourceCitation,sde
25,,Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NHDMetaToFeature,common,NHDMetaToFeature,sde
