"UniqID","dataType","newType","brokenPath","newPath"
143," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2010\NHD21001_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
144," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2010\NHD21001_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
145," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2011Nov\NHDH_AK_92v200.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
146," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2011Nov\NHDH_AK_92v200.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
147," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2012Sept\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
148," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2012Sept\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
149," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2013April\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
150," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2013April\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
151," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2013Aug\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
152," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2013Aug\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
153," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2015March\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
154," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2015March\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
155," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2015Sept\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
156," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\2015Sept\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
159," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\NHD_H_Alaska_State_GDB.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
160," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\NHD_H_Alaska_State_GDB.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
157," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\NHDH_AK.gdb\Hydrography\NHDFlowline","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDFlowline"
158," fgdb","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_nhd\NHDH_AK.gdb\Hydrography\NHDWaterbody","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.Hydrography\sde_common.DBO.NHDWaterbody"
259," raster","sde","\\dfg.alaska.local\gis\Anchorage\GISShare\_TopoMaps.gdb\NGS_QM_TOPO_DD","Y:\sde_common (dfgjnusql-gi71p).sde\sde_common.DBO.NGS_QM_TOPO_DD"
596," shape","fgdb","\\dfg.alaska.local\gis\Anchorage\GISShare\Boundaries\GMUs\gmusubs.shp","\\dfg.alaska.local\GIS\Anchorage\GISShare\DWC_Hunts_SpecArea_GMU\Current.gdb\GMULayers\Subunits"
128," fgdb","fgdb","\\dfg.alaska.local\GIS\Anchorage\GISShare\DWC_Hunts_SpecArea_GMU\Current20181109.gdb\GMULayers\Subunits","\\dfg.alaska.local\GIS\Anchorage\GISShare\DWC_Hunts_SpecArea_GMU\Current.gdb\GMULayers\Subunits"
